host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,availability_eoy,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,n_amenities,n_verifications,property_type_clean,host_years,neighbourhood_cleansed_freq,room_type_Hotel room,room_type_Private room,room_type_Shared room,neighbourhood_group_cleansed_Eixample,neighbourhood_group_cleansed_Gràcia,neighbourhood_group_cleansed_Horta-Guinardó,neighbourhood_group_cleansed_Les Corts,neighbourhood_group_cleansed_Nou Barris,neighbourhood_group_cleansed_Sant Andreu,neighbourhood_group_cleansed_Sant Martí,neighbourhood_group_cleansed_Sants-Montjuïc,neighbourhood_group_cleansed_Sarrià-Sant Gervasi
0.0,83.0,28.0,0.0,1.0,1.0,41.39383,2.19813,5.0,2.0,2.0,5.0,380.0,31,365,30,365,8,108,0,0.0,4.88,4.67,5.0,5.0,5.0,4.67,4.83,0,413,0.05,38,2,Entire rental unit,14.005479452054795,0.00783101494075219,0,0,0,0,0,0,0,0,0,1,0,0
0.0,100.0,96.0,1.0,1.0,1.0,41.40697,2.16106,3.0,1.0,1.0,2.0,202.0,3,150,3,127,282,60,84,16968.0,4.71,4.79,4.73,4.63,4.75,4.85,4.64,0,4,1.7,51,2,Other,14.523287671232877,0.05852653271509531,0,0,0,0,1,0,0,0,0,0,0,0
1.0,90.0,76.0,1.0,1.0,1.0,41.40466,2.17147,5.0,1.0,2.0,4.0,140.0,3,90,1,309,87,52,108,15120.0,4.84,4.71,4.9,4.85,4.9,4.93,4.62,0,3,0.53,42,2,Other,13.684931506849315,0.016383307573415766,0,0,0,0,1,0,0,0,0,0,0,0
0.0,100.0,100.0,0.0,1.0,1.0,41.37195,2.16936,2.0,1.0,1.0,1.0,111.0,3,365,0,124,79,5,36,3996.0,4.77,4.9,4.78,4.9,4.9,4.71,4.7,1,1,0.48,16,3,Entire rental unit,13.849315068493151,0.04404945904173107,0,0,0,0,0,0,0,0,0,0,1,0
0.0,100.0,98.0,0.0,1.0,1.0,41.38966,2.1958,4.0,2.0,2.0,2.0,220.0,31,365,30,365,17,109,0,0.0,4.62,4.53,4.76,4.82,5.0,4.94,4.47,0,1,0.1,26,2,Entire rental unit,14.41095890410959,0.00783101494075219,0,0,0,0,0,0,0,0,0,1,0,0
1.0,100.0,98.0,1.0,1.0,1.0,41.39076,2.17503,3.0,1.0,1.0,3.0,196.0,5,1125,1,45,311,45,255,49980.0,4.89,4.92,4.87,4.98,4.99,4.98,4.83,0,2,1.91,34,2,Entire rental unit,13.821917808219178,0.12447192168985059,0,0,0,1,0,0,0,0,0,0,0,0
1.0,100.0,93.0,1.0,1.0,1.0,41.39782414629114,2.170576755958843,5.0,1.0,3.0,4.0,182.0,2,1125,7,328,703,71,255,46410.0,4.79,4.78,4.78,4.88,4.89,4.84,4.7,0,12,4.27,50,2,Entire rental unit,14.334246575342465,0.12447192168985059,0,0,0,1,0,0,0,0,0,0,0,0
1.0,90.0,92.0,1.0,1.0,1.0,41.37793,2.15978,2.0,1.0,1.0,1.0,59.0,3,6,7,298,334,52,216,12744.0,4.65,4.73,4.41,4.88,4.85,4.84,4.72,0,1,2.04,28,2,Private room in rental unit,14.712328767123287,0.0527047913446677,0,1,0,1,0,0,0,0,0,0,0,0
0.0,100.0,100.0,1.0,1.0,1.0,41.39253234863281,2.19325590133667,4.0,1.0,1.0,2.0,266.0,1,365,8,135,90,78,108,28728.0,4.68,4.7,4.4,4.99,4.99,4.86,4.31,1,2,0.65,51,2,Entire rental unit,13.808219178082192,0.00783101494075219,0,0,0,0,0,0,0,0,0,1,0,0
0.0,83.0,28.0,0.0,1.0,1.0,41.3826,2.13075,2.0,1.0,1.0,2.0,140.0,32,330,29,364,1,108,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,413,0.01,33,2,Entire rental unit,14.005479452054795,0.013910355486862442,0,0,0,0,0,0,1,0,0,0,0,0
0.0,98.0,97.0,0.0,1.0,1.0,41.39993,2.16536,4.0,1.0,1.0,1.0,186.0,3,1125,9,77,51,77,48,8928.0,4.41,4.43,4.45,4.78,4.8,4.73,4.16,1,39,0.41,15,3,Entire rental unit,13.791780821917808,0.12447192168985059,0,0,0,1,0,0,0,0,0,0,0,0
0.0,98.0,97.0,0.0,1.0,1.0,41.40735,2.15885,7.0,2.0,3.0,5.0,187.0,3,1125,13,87,65,87,132,24684.0,4.49,4.68,4.48,4.82,4.83,4.86,4.25,1,39,0.47,19,3,Entire rental unit,13.791780821917808,0.05852653271509531,0,0,0,0,1,0,0,0,0,0,0,0
0.0,98.0,97.0,0.0,1.0,1.0,41.40399,2.15565,7.0,2.0,3.0,4.0,252.0,3,1125,9,77,166,77,255,64260.0,4.48,4.6,4.55,4.77,4.8,4.9,4.38,1,39,1.1,20,3,Entire rental unit,13.791780821917808,0.05852653271509531,0,0,0,0,1,0,0,0,0,0,0,0
0.0,98.0,98.0,1.0,1.0,1.0,41.39271,2.17974,6.0,2.0,3.0,8.0,299.0,1,1125,8,274,114,72,114,34086.0,4.61,4.65,4.66,4.75,4.73,4.77,4.41,1,15,0.76,57,3,Entire condo,14.016438356164384,0.02581143740340031,0,0,0,1,0,0,0,0,0,0,0,0
